track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_13296,16.1616,14.8513,0.4738,0.3931
track_13329,14.1141,13.5366,0.3260,0.2619
track_13332,13.0882,12.7179,0.2016,0.1571
track_13334,17.7681,16.2399,0.4715,0.3962
track_13354,16.9643,15.6335,0.4268,0.3548
track_13384,14.6200,13.7292,0.4148,0.3406
track_13412,19.7296,18.5127,0.5460,0.4753
track_13419,14.6784,13.8496,0.3739,0.3024
track_13422,13.5517,12.7922,0.3164,0.2712
track_13473,14.4080,13.9021,0.1962,0.1620
track_13510,13.9563,13.2611,0.3460,0.2707
track_13512,14.2920,13.6189,0.3514,0.2901
track_13520,14.9817,14.1555,0.3819,0.2914
track_13526,15.7014,14.7300,0.4395,0.3821
track_13527,16.9664,15.5027,0.6078,0.4813
track_13536,17.8810,17.0079,0.4031,0.3402
track_13574,19.3367,17.3859,0.5755,0.4897
track_13584,14.1539,13.4921,0.3211,0.2522
track_13586,17.3379,16.4467,0.3196,0.2567
track_13588,19.1208,17.4976,0.4977,0.4210
track_13589,16.8637,15.2451,0.5060,0.3949
track_13592,15.3154,14.0687,0.4328,0.3311
track_13594,17.2960,15.7802,0.5349,0.4509
track_13595,17.8385,16.8627,0.4302,0.3877
track_13596,16.4188,15.3816,0.4162,0.3409
track_13600,16.9663,16.5099,0.3290,0.2925
track_13603,14.2169,13.4722,0.3194,0.2564
track_13618,16.0992,15.2017,0.3988,0.3329
track_13643,14.8366,14.0796,0.3147,0.2489
track_13645,15.5783,14.6262,0.4216,0.3612
track_13652,21.7360,19.6701,0.6882,0.5809
track_13661,15.1601,14.3851,0.3637,0.2970
track_13664,20.7539,18.5864,0.6174,0.5381
track_13670,15.3120,14.7318,0.2919,0.2574
track_13714,18.8992,17.3393,0.3664,0.2924
track_13725,20.6413,18.3317,0.5962,0.5072
track_13749,16.8623,15.4371,0.4696,0.3748
track_13769,18.5557,17.2254,0.4843,0.4141
track_13791,16.9470,15.5863,0.5121,0.4153
track_13796,14.3211,13.4933,0.3480,0.2779
track_13838,18.0841,16.7763,0.4969,0.4365
track_13843,12.8340,12.4307,0.1932,0.1576
track_13850,22.0999,20.9194,0.5251,0.5027
track_13887,15.5940,14.9672,0.3515,0.2909
track_13895,15.6624,14.7722,0.3496,0.2689
track_13901,16.3469,15.2787,0.5032,0.4187
track_13915,19.0700,17.2132,0.6490,0.5174
track_13936,15.3890,14.6898,0.3596,0.3037
track_13937,18.4076,16.4044,0.6090,0.4876
track_13942,18.6386,17.4356,0.4603,0.3834
track_13944,12.9409,12.5868,0.1906,0.1671
track_13961,20.1375,17.9731,0.6105,0.5102
track_13962,20.1117,18.1897,0.5198,0.4426
track_13977,16.7865,15.7324,0.4709,0.3798
track_13989,17.1568,15.8640,0.5213,0.4360
track_13993,15.9770,15.0767,0.4390,0.3612
track_14002,15.6324,14.8172,0.3053,0.2512
track_14010,13.4953,12.9580,0.2305,0.1759
track_14013,14.5825,13.7860,0.2391,0.1807
track_14026,15.6835,14.7646,0.4557,0.3651
track_14043,17.2873,15.6122,0.5908,0.4771
track_14045,15.3038,14.3980,0.3340,0.2631
track_14058,15.5375,14.5231,0.4819,0.3914
track_14063,14.4336,13.5889,0.4062,0.3328
track_14065,15.4717,14.4264,0.3759,0.3083
track_14090,17.1530,16.0842,0.4233,0.3294
track_14103,14.9988,13.9858,0.3591,0.2949
track_14104,17.3897,16.5808,0.3852,0.2877
track_14138,15.2329,14.3783,0.3918,0.3244
track_14141,15.6734,14.3680,0.3787,0.2900
track_14147,17.5739,16.1598,0.5242,0.4180
track_14166,14.3300,13.5677,0.3345,0.2709
track_14181,15.2895,14.5040,0.3529,0.2753
track_14183,14.3866,13.7660,0.2637,0.2072
track_14194,17.0759,15.7524,0.4235,0.3447
track_14195,15.6712,14.5695,0.4475,0.3775
track_14203,16.3745,14.7782,0.4804,0.3860
track_14204,14.1122,13.3406,0.2976,0.2448
track_14227,15.5065,14.4373,0.3903,0.3175
track_14235,16.5983,15.4917,0.4946,0.4155
track_14259,15.7366,14.8254,0.3293,0.2759
track_14295,16.5457,15.4169,0.4419,0.3534
track_14304,15.3602,14.4068,0.4012,0.3269
track_14306,15.8771,15.0647,0.3882,0.3155
track_14313,16.2293,15.5600,0.3290,0.2914
track_14330,15.4419,14.4053,0.4052,0.3196
track_14336,16.2879,14.9874,0.5031,0.4029
track_14342,14.3351,13.6995,0.3074,0.2514
track_14343,14.8752,14.0847,0.2810,0.2324
track_14355,13.6599,13.0352,0.2842,0.2187
track_14367,15.5460,14.5677,0.3657,0.3092
track_14371,14.5398,13.6647,0.3402,0.2775
track_14372,17.6547,15.8529,0.5751,0.4626
track_14380,15.6176,14.8339,0.2993,0.2535
track_14393,16.4718,15.0187,0.5324,0.4396
track_14396,15.2148,14.3643,0.4039,0.3212
track_14411,18.0262,16.7381,0.3725,0.3229
track_14421,14.7230,13.7919,0.4249,0.3410
track_14442,18.3146,17.0441,0.4599,0.3951
track_14444,21.8066,19.9648,0.5939,0.5373
track_14446,14.9563,14.0581,0.3991,0.3240
track_14466,15.0954,14.1278,0.3256,0.2708
track_14470,22.7318,21.2415,0.5629,0.5168
track_14488,16.7901,15.9312,0.3784,0.3259
track_14505,17.1596,15.9661,0.3681,0.3069
track_14506,17.4789,16.6020,0.3874,0.3207
track_14516,19.7047,18.0599,0.4888,0.4146
track_14517,18.2518,16.7337,0.4151,0.3521
track_14534,17.6578,15.9418,0.5656,0.4688
track_14539,16.3864,15.4435,0.3866,0.3079
track_14550,15.0225,14.1303,0.4749,0.3900
track_14559,15.0792,14.1744,0.4376,0.3611
track_14574,15.5305,14.4518,0.3882,0.3138
track_14582,15.2793,14.4432,0.3816,0.3098
track_14583,15.4374,14.5992,0.3920,0.3286
track_14604,14.5955,14.0434,0.2894,0.2469
track_14605,16.5369,15.5596,0.4207,0.3616
track_14614,20.8128,19.1725,0.5055,0.4621
track_14648,15.6260,14.4953,0.4895,0.3905
track_14656,13.6570,12.9299,0.2797,0.2247
track_14661,13.8470,13.2098,0.3241,0.2704
track_14668,14.7944,14.3329,0.2950,0.2385
track_14696,15.3939,14.4535,0.3103,0.2482
track_14728,14.3179,13.3555,0.3509,0.2872
track_14747,16.1728,15.0092,0.4187,0.3297
track_14779,18.1995,17.0129,0.4954,0.4180
track_14839,14.3614,13.8764,0.2638,0.2006
track_14848,14.9618,14.0498,0.3608,0.2734
track_14868,15.2323,14.4284,0.3801,0.3042
track_14895,17.7611,16.9649,0.4170,0.3446
track_14914,16.7954,15.8825,0.3150,0.2429
track_14924,14.0040,13.1322,0.3387,0.2817
track_14926,12.5547,12.2651,0.1809,0.1551
track_14938,16.3649,15.4919,0.4142,0.3556
track_14943,19.2748,17.5586,0.5411,0.4353
track_14944,20.4640,18.5647,0.6011,0.4837
track_14958,14.6680,13.9171,0.2862,0.2448
track_14971,15.8994,15.0111,0.4147,0.3474
track_14981,14.8333,14.3736,0.2488,0.2293
track_14991,15.6179,14.6671,0.4025,0.3184
track_15001,18.1277,17.2166,0.4162,0.3716
track_15009,17.7087,16.4178,0.5586,0.4752
track_15015,16.8178,15.9031,0.3590,0.3151
track_15039,17.1840,15.7986,0.4763,0.3658
track_15045,13.8478,13.1689,0.3339,0.2724
track_15063,16.1853,15.3391,0.4827,0.3892
track_15103,16.0328,15.4259,0.3782,0.3240
track_15112,15.4843,14.5085,0.3587,0.3061
track_15120,13.0070,12.6101,0.2570,0.2163
track_15148,15.2973,14.2421,0.4462,0.3553
track_15153,17.2985,15.8025,0.4817,0.3827
track_15191,17.8241,16.1330,0.5944,0.4914
track_15223,15.2621,14.5497,0.3914,0.3284
track_15233,14.4751,13.4294,0.3758,0.2841
track_15242,13.3695,12.6732,0.2669,0.2119
track_15264,18.6231,17.6568,0.4978,0.4258
track_15265,16.6610,15.4336,0.4447,0.3610
track_15266,16.9525,16.0665,0.4885,0.4187
track_15281,20.2072,19.0223,0.5764,0.5172
track_15285,16.4852,15.7318,0.3833,0.3372
track_15299,16.5147,15.6134,0.3046,0.2543
track_15314,16.7694,15.5919,0.4877,0.3944
track_15315,13.8595,13.3375,0.2500,0.1933
track_15324,16.4858,15.6672,0.4513,0.3968
track_15341,15.3964,14.6812,0.2968,0.2546
track_15345,14.7378,13.9772,0.4330,0.3603
track_15346,16.3257,14.9254,0.5251,0.4197
track_15350,19.1896,17.0087,0.6714,0.5639
track_15358,13.8736,13.0520,0.3114,0.2608
track_15371,14.8894,13.9612,0.4132,0.3376
track_15377,14.1689,13.4872,0.3732,0.3016
track_15378,15.2663,14.3536,0.3546,0.2787
track_15393,15.3385,14.1994,0.4523,0.3662
track_15395,16.4375,15.2397,0.5034,0.4047
track_15397,14.1376,13.6579,0.2912,0.2205
