track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_19858,20.0476,18.4328,0.5418,0.4917
track_19872,16.2544,15.3860,0.3732,0.3139
track_19873,19.4256,18.1654,0.4355,0.3796
track_19883,16.2704,15.3514,0.4329,0.3383
track_19916,21.4457,19.2196,0.4916,0.4092
track_19918,17.6086,16.2279,0.5145,0.3984
track_19919,18.1956,16.7059,0.5138,0.4174
track_19923,15.7210,14.8654,0.4450,0.3433
track_19928,13.5198,12.9664,0.3494,0.2971
track_19929,13.8797,13.2368,0.2791,0.2198
track_19956,13.8392,13.4692,0.2930,0.2415
track_19959,15.9841,14.7418,0.5054,0.3870
track_19962,13.9886,13.4732,0.2749,0.2162
track_19968,18.5592,16.9885,0.4660,0.3889
track_19975,14.1689,13.3642,0.2940,0.2410
track_19981,14.0064,13.1582,0.2750,0.2216
track_20018,18.3587,16.8863,0.4586,0.3702
track_20035,14.7586,13.8074,0.3749,0.2927
track_20039,14.4563,13.5013,0.2902,0.2137
track_20048,15.5023,14.6687,0.4430,0.3538
track_20058,17.7252,16.4001,0.4747,0.3913
track_20060,16.0249,15.1312,0.3964,0.3257
track_20068,16.1615,15.0031,0.3914,0.3032
track_20082,17.5925,16.8236,0.3718,0.3078
track_20083,14.8077,14.0251,0.4319,0.3649
track_20093,15.7213,14.6860,0.3842,0.3063
track_20094,15.7276,15.3577,0.3749,0.3195
track_20121,17.5831,16.6100,0.4478,0.3496
track_20127,14.8833,14.3137,0.3122,0.2541
track_20143,16.8766,15.3257,0.5101,0.4133
track_20145,15.0090,14.4314,0.3175,0.2861
track_20166,17.2740,16.4076,0.2877,0.2648
track_20173,16.5193,15.2290,0.4646,0.3870
track_20179,15.0706,13.9894,0.4050,0.2904
track_20206,14.9318,13.9324,0.3430,0.2469
track_20209,19.3266,17.9747,0.5247,0.4349
track_20211,19.1776,17.3998,0.4676,0.3860
track_20212,18.3915,17.1183,0.5110,0.3982
track_20225,18.7252,17.3472,0.4689,0.3868
track_20246,16.4378,15.6143,0.3630,0.2833
track_20247,18.0145,17.0678,0.3962,0.3410
track_20273,14.5712,13.8149,0.3473,0.2797
track_20280,19.0007,18.2450,0.4962,0.4378
track_20289,15.5207,14.5168,0.3999,0.3013
track_20291,15.3846,14.5175,0.3188,0.2286
track_20306,17.0954,15.8468,0.4963,0.4362
track_20322,17.7198,16.5816,0.3127,0.2769
track_20332,16.4506,14.9722,0.4308,0.3319
track_20339,16.4822,15.4029,0.4525,0.3671
track_20342,17.7256,16.7438,0.4611,0.3729
track_20344,19.2871,17.7449,0.4879,0.3947
track_20367,22.5418,21.1875,0.5663,0.5026
track_20378,17.7549,16.1898,0.5411,0.4472
track_20379,17.3556,15.6417,0.6006,0.4744
track_20407,19.5056,17.7247,0.5697,0.4721
track_20430,16.8971,15.7156,0.5365,0.4462
track_20462,15.5507,14.7661,0.4521,0.3885
track_20510,14.4963,13.7823,0.3439,0.2757
track_20517,16.1066,15.1132,0.4550,0.3593
track_20518,15.9907,14.9064,0.4837,0.3634
track_20525,18.2571,16.8120,0.5606,0.4857
track_20526,18.4994,16.8814,0.5453,0.4485
track_20548,18.8383,17.4035,0.5200,0.4459
track_20558,18.3034,17.1111,0.4838,0.4346
track_20564,17.8585,16.8276,0.4540,0.3768
track_20583,16.1277,14.9604,0.4535,0.3533
track_20599,15.4563,14.3260,0.3624,0.2555
track_20601,18.0557,16.5640,0.6277,0.5281
track_20614,17.9391,16.7380,0.5057,0.4494
track_20629,15.3512,14.6020,0.4230,0.3394
track_20637,17.1485,15.4827,0.5113,0.4137
track_20644,17.0432,15.8684,0.5143,0.4177
track_20662,20.9203,18.5697,0.7384,0.6452
track_20672,17.2591,15.6046,0.4741,0.3647
track_20675,17.4951,15.7107,0.5769,0.4497
track_20694,20.4067,19.2914,0.6019,0.5342
track_20695,20.8478,18.8918,0.6622,0.6117
track_20696,19.5949,17.9804,0.5223,0.4347
track_20706,17.2540,15.9720,0.5467,0.4708
track_20719,15.9881,14.9330,0.4497,0.3596
track_20723,17.9462,16.6130,0.4975,0.4156
track_20726,15.7259,14.7570,0.4364,0.3537
track_20733,14.7613,13.7378,0.3548,0.2613
track_20735,18.1796,16.3435,0.6379,0.5347
track_20736,15.0372,14.0509,0.3825,0.2919
track_20737,18.0007,17.2892,0.4820,0.4266
track_20756,17.2230,16.0179,0.4443,0.3666
track_20791,18.1533,16.7783,0.5163,0.4281
track_20797,21.2058,19.2608,0.6691,0.5576
track_20812,17.6491,16.3178,0.4159,0.3384
track_20818,17.3884,15.9293,0.5415,0.4218
track_20823,19.0823,17.9723,0.5441,0.4604
track_20825,19.1986,17.5069,0.6328,0.5618
track_20829,16.6793,15.2094,0.5097,0.4099
