track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_15242,13.9068,13.2199,0.3535,0.2910
track_15264,16.8012,15.6250,0.4176,0.3506
track_15265,20.5809,18.7912,0.7338,0.6490
track_15266,15.3237,14.6453,0.3921,0.3497
track_15281,19.1769,17.4323,0.5426,0.4753
track_15285,16.7632,15.9410,0.5200,0.4731
track_15299,18.2305,17.4372,0.4997,0.4181
track_15314,17.3900,16.2339,0.5886,0.5262
track_15315,15.4865,14.8440,0.4509,0.3726
track_15324,15.4797,14.6574,0.3646,0.3144
track_15341,18.4484,17.7340,0.5174,0.4417
track_15345,14.7904,14.2374,0.5420,0.5137
track_15346,16.6218,15.3459,0.5696,0.4867
track_15350,17.2077,15.8947,0.5537,0.4763
track_15358,15.0989,14.2045,0.4463,0.3973
track_15371,17.3558,16.1928,0.6898,0.6300
track_15377,14.5373,13.8429,0.4260,0.3718
track_15378,14.4955,13.5729,0.3825,0.3426
track_15393,18.6689,17.3228,0.7191,0.6483
track_15395,14.2812,13.7626,0.2957,0.2678
track_15397,15.0983,14.1948,0.3923,0.3394
track_15422,15.5060,14.8626,0.5491,0.5033
track_15424,16.9805,16.0690,0.5585,0.4732
track_15426,17.4461,16.2195,0.6199,0.5524
track_15446,15.3844,14.6808,0.4700,0.3838
track_15449,13.7768,13.1812,0.3633,0.3137
track_15450,15.4510,14.9096,0.5259,0.4554
track_15456,14.8017,14.1050,0.5078,0.4724
track_15457,16.9545,15.6298,0.6180,0.5468
track_15465,15.3594,14.5275,0.4816,0.4195
track_15466,17.6871,16.3935,0.5391,0.4796
track_15488,16.6070,15.5662,0.6137,0.5451
track_15499,14.9508,14.1886,0.4396,0.3750
track_15500,13.9038,13.3111,0.3901,0.3676
track_15505,14.8440,14.1408,0.4209,0.3506
track_15515,18.4093,16.9462,0.6050,0.5328
track_15534,18.7104,17.2833,0.5570,0.4905
track_15544,17.8444,17.0059,0.6717,0.5965
track_15546,16.9547,15.6783,0.6000,0.5214
track_15587,15.5541,14.7029,0.4589,0.4078
track_15590,15.0031,14.1661,0.4020,0.3531
track_15594,19.7375,18.3932,0.6766,0.6028
track_15597,17.1932,16.3760,0.5844,0.5335
track_15600,14.4642,13.8908,0.3334,0.2820
track_15606,18.7092,17.0092,0.4252,0.3658
track_15609,19.8945,18.9832,0.4378,0.3844
track_15619,19.3029,17.9905,0.5051,0.4197
track_15622,18.2787,17.0338,0.4815,0.4111
track_15630,17.7839,17.1299,0.4694,0.4122
track_15639,21.2587,19.6237,0.4267,0.3718
track_15646,17.9786,17.1143,0.4268,0.3547
track_15648,18.5647,17.5449,0.4857,0.4176
track_15660,19.6649,18.5360,0.4952,0.4238
track_15667,20.7635,19.7145,0.7616,0.6959
track_15675,19.5655,18.3297,0.6368,0.5734
track_15688,19.0852,17.7343,0.4366,0.3764
track_15706,18.6196,17.1064,0.4219,0.3738
track_15720,26.7824,24.9356,0.7261,0.6713
track_15731,16.1155,15.5013,0.5454,0.5032
track_15739,17.9696,17.1814,0.3835,0.3014
track_15782,16.0529,14.9099,0.5068,0.4479
track_15801,16.7112,15.9766,0.4841,0.4259
track_15810,17.0515,15.9302,0.5580,0.4826
track_15816,15.4171,14.6235,0.4387,0.3794
track_15819,16.4205,15.7842,0.5022,0.4502
track_15843,15.9083,14.8678,0.4966,0.4321
track_15847,16.7523,15.9679,0.4660,0.4025
track_15867,20.3959,19.3589,0.5357,0.4630
track_15899,19.0694,18.1830,0.4234,0.3606
track_15902,22.0387,21.0770,0.7431,0.6782
track_15926,19.4970,18.3514,0.5801,0.5240
track_15949,19.2660,17.6495,0.5853,0.4934
track_15956,15.0447,14.2064,0.3683,0.3309
track_15968,22.2368,21.0037,0.6616,0.5832
track_15976,16.3626,15.7185,0.5881,0.5492
track_15996,14.8381,14.4285,0.3121,0.2730
track_16005,16.2175,14.9591,0.5148,0.4539
track_16007,15.6735,15.3112,0.4009,0.3645
track_16021,17.3243,15.9266,0.5713,0.4705
track_16044,18.5818,17.2826,0.5103,0.4293
track_16049,20.8048,20.2138,0.5334,0.4981
track_16054,15.4607,14.5527,0.3750,0.3082
track_16057,14.6299,13.8830,0.4012,0.3270
track_16058,17.9179,16.6700,0.5763,0.5047
track_16059,17.9594,17.1111,0.4263,0.3834
track_16060,24.8491,23.9175,0.7699,0.7164
track_16064,17.5165,16.1824,0.6295,0.5605
track_16104,19.9412,18.3886,0.4857,0.4332
track_16131,16.4264,15.2269,0.4328,0.3723
track_16205,20.6748,19.1273,0.6958,0.6288
track_16227,19.6408,18.4915,0.6057,0.5525
track_16228,15.8638,15.3198,0.3199,0.2759
track_16244,17.1378,15.7323,0.5411,0.4724
track_16245,20.9656,19.8561,0.5613,0.4848
track_16292,16.2009,15.2182,0.4719,0.3995
